Latitude,Longitude,Depth,Temperature,Salinity
25.0093,54.0111,70,9.92,4.96
25.0093,54.0111,75,9.839,4.9195
25.0093,54.0111,80,9.839,4.9195
25.0093,54.0111,85,9.839,4.9195
25.0093,54.0111,90,9.839,4.9195
25.0093,54.0111,95,9.839,4.9195
25.0093,54.0111,100,9.892,4.946
25.0093,54.0111,125,9.885,4.9425
25.0093,54.0111,150,9.88,4.94
25.0093,54.0111,175,9.88,4.94
25.0093,54.0111,200,9.801,4.9005
25.0093,54.0111,225,9.931,4.9655
25.0093,54.0111,250,9.901,4.9505
25.0093,54.0111,275,9.911,4.9555
25.0093,54.0111,300,9.888,4.944
25.0093,54.0111,325,9.878,4.939
25.0093,54.0111,350,9.888,4.944
25.0093,54.0111,375,9.888,4.944
25.0093,54.0111,400,9.934,4.967
25.0093,54.0111,425,9.944,4.972
25.0093,54.0111,450,9.944,4.972
25.0093,54.0111,475,9.944,4.972
25.0093,54.0111,500,9.909,4.9545
25.0093,54.0111,550,9.919,4.9595
25.0093,54.0111,600,9.923,4.9615
25.0093,54.0111,650,9.923,4.9615
25.0093,54.0111,700,9.931,4.9655
25.0093,54.0111,750,10.03,5.015
25.01,53.817,0,25.307,12.6535
25.01,53.817,5,25.237,12.6185
25.01,53.817,10,25.09,12.545
25.01,53.817,15,25.07,12.535
25.01,53.817,20,24.835,12.4175
25.01,53.817,25,24.815,12.4075
25.01,53.817,30,26.46,13.23
25.01,53.817,35,25.525,12.7625
25.01,53.817,40,25.53,12.765
25.01,53.817,45,25.305,12.6525
25.01,53.817,50,25.031,12.5155
25.01,53.817,55,24.952,12.476
25.01,53.817,60,24.917,12.4585
25.01,53.817,65,24.897,12.4485
25.01,56.66,0,28.17,14.085
25.01,56.66,5,27.758,13.879
25.01,56.66,10,26.969,13.4845
25.01,56.66,15,26.571,13.2855
25.01,56.66,20,26.08,13.04
25.01,56.66,25,25.797,12.8985
25.01,56.66,30,25.018,12.509
25.01,56.66,35,24.532,12.266
25.01,56.66,40,24.218,12.109
25.01,56.66,45,23.755,11.8775
25.01,56.66,50,23.608,11.804
25.01,56.66,55,23.498,11.749
25.01,56.66,60,23.439,11.7195
25.01,56.66,65,23.388,11.694
25.01,56.66,70,23.338,11.669
25.01,56.66,75,23.257,11.6285
25.01,56.66,80,23.224,11.612
25.01,56.66,85,23.288,11.644
25.01,56.66,90,23.305,11.6525
25.01,56.66,95,23.26,11.63
25.01,56.66,100,23.2,11.6
25.01,56.66,125,21.601,10.8005
25.01,56.66,150,21.418,10.709
25.01,56.66,175,22.454,11.227
25.01,56.66,200,22.517,11.2585
25.01,56.68,0,28.17,14.085
25.01,56.68,5,27.641,13.8205
25.01,56.68,10,27.094,13.547
25.01,56.68,15,26.543,13.2715
25.01,56.68,20,26.067,13.0335
25.01,56.68,25,25.136,12.568
25.01,56.68,30,24.618,12.309
25.01,56.68,35,24.218,12.109
25.01,56.68,40,23.951,11.9755
25.01,56.68,45,23.521,11.7605
25.01,56.68,50,23.451,11.7255
25.01,56.68,55,23.421,11.7105
25.01,56.68,60,23.408,11.704
25.01,56.68,65,23.408,11.704
25.01,56.68,70,23.404,11.702
25.01,56.68,75,23.348,11.674
25.01,56.68,80,23.328,11.664
25.01,56.68,85,23.311,11.6555
25.01,56.68,90,23.279,11.6395
25.01,56.68,95,23.197,11.5985
25.01,56.68,100,23.114,11.557
25.01,56.68,125,21.429,10.7145
25.01,56.68,150,20.994,10.497
25.01,56.68,175,22.653,11.3265
25.01,56.68,200,22.738,11.369
25.01,57.31,0,25.97,12.985
25.01,57.31,5,26.031,13.0155
25.01,57.31,10,26.018,13.009
25.01,57.31,15,26.113,13.0565
25.01,57.31,20,25.878,12.939
25.01,57.31,25,25.601,12.8005
25.01,57.31,30,25.129,12.5645
25.01,57.31,35,24.774,12.387
25.01,57.31,40,24.444,12.222
25.01,57.31,45,24.164,12.082
25.01,57.31,50,23.907,11.9535
25.01,57.31,55,23.69,11.845
25.01,57.31,60,23.503,11.7515
25.01,57.31,65,23.353,11.6765
25.01,57.31,70,23.231,11.6155
25.01,57.31,75,23.122,11.561
25.01,57.31,80,23.104,11.552
25.01,57.31,85,23.125,11.5625
25.01,57.31,90,23.131,11.5655
25.01,57.31,95,23.081,11.5405
25.01,57.31,100,23.01,11.505
25.01,57.31,125,21.064,10.532
25.01,57.31,150,20.654,10.327
25.01,57.31,175,19.454,9.727
25.01,57.31,200,18.812,9.406
25.01,57.31,225,18.875,9.4375
25.01,57.31,250,21.399,10.6995
25.01,57.31,275,22.218,11.109
25.01,57.31,300,21.853,10.9265
25.01,57.31,325,22.164,11.082
25.01,57.31,350,18.512,9.256
25.01,57.31,375,16.689,8.3445
25.01,57.31,400,16.374,8.187
25.01,57.31,425,15.581,7.7905
25.01,57.31,450,14.222,7.111
25.01,57.31,475,13.318,6.659
25.01,57.31,500,12.882,6.441
25.01,57.31,550,12.461,6.2305
25.01,57.31,600,11.924,5.962
25.01,57.31,650,11.431,5.7155
25.01,57.31,700,10.98,5.49
25.01,57.31,750,10.663,5.3315
25.01,57.93,0,25.723,12.8615
25.01,57.93,5,25.713,12.8565
25.01,57.93,10,25.498,12.749
25.01,57.93,15,25.075,12.5375
25.01,57.93,20,24.808,12.404
25.01,57.93,25,24.661,12.3305
25.01,57.93,30,24.578,12.289
25.01,57.93,35,24.498,12.249
25.01,57.93,40,23.718,11.859
25.01,57.93,45,23.388,11.694
25.01,57.93,50,23.325,11.6625
25.01,57.93,55,23.319,11.6595
25.01,57.93,60,23.309,11.6545
25.01,57.93,65,23.309,11.6545
25.01,57.93,70,23.279,11.6395
25.01,57.93,75,23.277,11.6385
25.01,57.93,80,23.261,11.6305
25.01,57.93,85,23.251,11.6255
25.01,57.93,90,23.221,11.6105
25.01,57.93,95,23.221,11.6105
25.01,57.93,100,23.186,11.593
25.01,57.93,125,22.615,11.3075
25.01,57.93,150,21.996,10.998
25.01,57.93,175,21.046,10.523
25.01,57.93,200,20.556,10.278
25.01,57.93,225,20.846,10.423
25.01,57.93,250,20.391,10.1955
25.01,57.93,275,19.771,9.8855
25.01,57.93,300,18.983,9.4915
25.01,57.93,325,17.609,8.8045
25.01,57.93,350,16.784,8.392
25.01,57.93,375,16.413,8.2065
25.01,57.93,400,15.941,7.9705
25.01,57.93,425,14.921,7.4605
25.01,57.93,450,14.231,7.1155
25.01,57.93,475,13.566,6.783
25.01,57.93,500,13.32,6.66
25.01,57.93,550,12.55,6.275
25.01,57.93,600,12.133,6.0665
25.01,57.93,650,11.527,5.7635
25.01,57.93,700,11.113,5.5565
25.01,57.93,750,10.808,5.404
25.01,57.93,800,10.43,5.215
25.01,58.97,0,25.073,12.5365
25.01,58.97,5,25.073,12.5365
25.01,58.97,10,25.078,12.539
25.01,58.97,15,25.058,12.529
25.01,58.97,20,25.047,12.5235
25.01,58.97,25,25.031,12.5155
25.01,58.97,30,24.998,12.499
25.01,58.97,35,24.998,12.499
25.01,58.97,40,24.988,12.494
25.01,58.97,45,24.993,12.4965
25.01,58.97,50,24.966,12.483
25.01,58.97,55,24.949,12.4745
25.01,58.97,60,24.949,12.4745
25.01,58.97,65,24.949,12.4745
25.01,58.97,70,24.949,12.4745
25.01,58.97,75,24.941,12.4705
25.01,58.97,80,24.947,12.4735
25.01,58.97,85,24.921,12.4605
25.01,58.97,90,24.901,12.4505
25.01,58.97,95,24.681,12.3405
25.01,58.97,100,24.056,12.028
25.01,58.97,125,23.115,11.5575
25.01,58.97,150,22.156,11.078
25.01,58.97,175,21.426,10.713
25.01,58.97,200,20.281,10.1405
25.01,58.97,225,19.078,9.539
25.01,58.97,250,18.431,9.2155
25.01,58.97,275,17.771,8.8855
25.01,58.97,300,18.113,9.0565
25.01,58.97,325,18.739,9.3695
25.01,58.97,350,17.943,8.9715
25.01,58.97,375,16.983,8.4915
25.01,58.97,400,16.761,8.3805
25.01,58.97,425,15.541,7.7705
25.01,58.97,450,15.271,7.6355
25.01,58.97,475,14.554,7.277
25.01,58.97,500,14.12,7.06
25.01,58.97,550,13.21,6.605
25.01,58.97,600,12.287,6.1435
25.01,58.97,650,11.447,5.7235
25.01,58.97,700,10.793,5.3965
25.01,58.97,750,10.638,5.319
25.01,58.97,800,10.36,5.18
25.01,59.51,10,30.838,15.419
25.01,59.51,15,30.838,15.419
25.01,59.51,20,30.833,15.4165
25.01,59.51,25,30.861,15.4305
25.01,59.51,30,30.858,15.429
25.01,59.51,35,30.858,15.429
25.01,59.51,40,30.858,15.429
25.01,59.51,45,29.935,14.9675
25.01,59.51,50,28.941,14.4705
25.01,59.51,55,28.579,14.2895
25.01,59.51,60,27.949,13.9745
25.01,59.51,65,27.629,13.8145
25.01,59.51,70,27.169,13.5845
25.01,59.51,75,26.714,13.357
25.01,59.51,80,26.221,13.1105
25.01,59.51,85,25.841,12.9205
25.01,59.51,90,24.981,12.4905
25.01,59.51,95,24.621,12.3105
25.01,59.51,100,24.276,12.138
25.01,59.51,125,22.455,11.2275
25.01,59.51,150,20.196,10.098
25.01,59.51,175,18.546,9.273
25.01,59.51,200,17.31,8.655
25.01,59.51,225,16.964,8.482
25.01,59.51,250,16.321,8.1605
25.01,59.51,275,15.701,7.8505
25.01,59.51,300,15.283,7.6415
25.01,59.51,325,14.654,7.327
25.01,59.51,350,14.255,7.1275
25.01,59.51,375,13.943,6.9715
25.01,59.51,400,13.891,6.9455
25.01,59.51,425,13.571,6.7855
25.01,59.51,450,13.381,6.6905
25.01,59.63,0,25.163,12.5815
25.01,59.63,5,25.153,12.5765
25.01,59.63,10,25.168,12.584
25.01,59.63,15,25.101,12.5505
25.01,59.63,20,25.051,12.5255
25.01,59.63,25,25.051,12.5255
25.01,59.63,30,25.008,12.504
25.01,59.63,35,24.998,12.499
25.01,59.63,40,24.958,12.479
25.01,59.63,45,24.715,12.3575
25.01,59.63,50,24.599,12.2995
25.01,59.63,55,24.599,12.2995
25.01,59.63,60,24.559,12.2795
25.01,59.63,65,24.209,12.1045
25.01,59.63,70,24.169,12.0845
25.01,59.63,75,24.194,12.097
25.01,59.63,80,23.93,11.965
25.01,59.63,85,23.731,11.8655
25.01,59.63,90,23.641,11.8205
25.01,59.63,95,23.511,11.7555
25.01,59.63,100,23.066,11.533
25.01,59.63,125,22.145,11.0725
25.01,59.63,150,21.576,10.788
25.01,59.63,175,20.756,10.378
25.01,59.63,200,19.574,9.787
25.01,59.63,225,18.636,9.318
25.01,59.63,250,18.161,9.0805
25.01,59.63,275,17.951,8.9755
25.01,59.63,300,17.133,8.5665
25.01,59.63,325,16.755,8.3775
25.01,59.63,350,16.177,8.0885
25.01,59.63,375,16.143,8.0715
25.01,59.63,400,15.551,7.7755
25.01,59.63,425,15.131,7.5655
25.01,59.63,450,14.271,7.1355
25.01,59.63,475,14.401,7.2005
25.01,59.63,500,13.93,6.965
25.01,59.63,550,12.81,6.405
25.01,59.63,600,11.972,5.986
25.01,59.63,650,11.227,5.6135
25.01,59.63,700,10.913,5.4565
25.01,59.63,750,10.567,5.2835
25.01,59.63,800,10.22,5.11
25.01,59.85,0,27.323,13.6615
25.01,59.85,5,27.22,13.61
25.01,59.85,10,26.633,13.3165
25.01,59.85,15,24.878,12.439
25.01,59.85,20,24.074,12.037
25.01,59.85,25,23.516,11.758
25.01,59.85,30,23.266,11.633
25.01,59.85,35,22.798,11.399
25.01,59.85,40,22.246,11.123
25.01,59.85,45,22.096,11.048
25.01,59.85,50,21.915,10.9575
25.01,59.85,55,21.769,10.8845
25.01,59.85,60,21.63,10.815
25.01,59.85,65,21.489,10.7445
25.01,59.85,70,21.274,10.637
25.01,59.85,75,21.013,10.5065
25.01,59.85,80,20.715,10.3575
25.01,59.85,85,20.375,10.1875
25.01,59.85,90,20.03,10.015
25.01,59.85,95,19.725,9.8625
25.01,59.85,100,19.478,9.739
25.01,59.85,125,18.725,9.3625
25.01,59.85,150,18.583,9.2915
25.01,59.85,175,18.906,9.453
25.01,59.85,200,19.19,9.595
25.01,59.85,225,17.204,8.602
25.01,59.85,250,16.566,8.283
25.01,59.85,275,17.381,8.6905
25.01,59.85,300,15.786,7.893
25.01,59.85,325,14.599,7.2995
25.01,59.85,350,13.696,6.848
25.01,59.85,375,14.549,7.2745
25.01,59.85,400,14.199,7.0995
25.01,59.85,425,13.841,6.9205
25.01,59.85,450,13.683,6.8415
25.01,59.85,475,13.739,6.8695
25.01,59.85,500,13.307,6.6535
25.01,59.85,550,12.544,6.272
25.01,59.85,600,12.06,6.03
25.01,59.85,650,11.606,5.803
25.01,59.85,700,11.191,5.5955
25.01,59.85,750,10.855,5.4275
25.01,59.85,800,10.429,5.2145
25.01,60.01,0,24.9,12.45
25.01,60.01,5,24.868,12.434
25.01,60.01,10,24.815,12.4075
25.01,60.01,15,24.881,12.4405
25.01,60.01,20,24.835,12.4175
25.01,60.01,25,24.786,12.393
25.01,60.01,30,24.766,12.383
25.01,60.01,35,24.75,12.375
25.01,60.01,40,24.738,12.369
25.01,60.01,45,24.691,12.3455
25.01,60.01,50,24.251,12.1255
25.01,60.01,55,23.575,11.7875
25.01,60.01,60,23.117,11.5585
25.01,60.01,65,22.978,11.489
25.01,60.01,70,22.9,11.45
25.01,60.01,75,22.9,11.45
25.01,60.01,80,22.9,11.45
25.01,60.01,85,22.656,11.328
25.01,60.01,90,21.896,10.948
25.01,60.01,95,21.243,10.6215
25.01,60.01,100,20.7,10.35
25.01,60.01,125,19.822,9.911
25.01,60.01,150,19.758,9.879
25.01,60.01,175,18.889,9.4445
25.01,60.01,200,18.261,9.1305
25.01,60.01,225,18.499,9.2495
25.01,60.01,250,18.993,9.4965
25.01,60.01,275,19,9.5
25.01,60.01,300,17.92,8.96
25.01,60.01,325,16.912,8.456
25.01,60.01,350,16.074,8.037
25.01,60.01,375,15.372,7.686
25.01,60.01,400,14.799,7.3995
25.01,60.01,425,14.444,7.222
25.01,60.01,450,14.308,7.154
25.01,60.01,475,14.048,7.024
25.01,60.01,500,13.714,6.857
25.01,60.01,550,12.742,6.371
25.01,60.01,600,11.959,5.9795
25.01,60.01,650,11.168,5.584
25.01,60.01,700,10.852,5.426
25.01,60.01,750,10.619,5.3095
25.01,60.05,0,32.323,16.1615
25.01,60.05,5,30.202,15.101
25.01,60.05,10,28.351,14.1755
25.01,60.05,15,26.703,13.3515
25.01,60.05,20,25.284,12.642
25.01,60.05,25,24.109,12.0545
25.01,60.05,30,23.138,11.569
25.01,60.05,35,22.418,11.209
25.01,60.05,40,22.164,11.082
25.01,60.05,45,21.838,10.919
25.01,60.05,50,21.366,10.683
25.01,60.05,55,20.983,10.4915
25.01,60.05,60,20.63,10.315
25.01,60.05,65,19.894,9.947
25.01,60.05,70,19.732,9.866
25.01,60.05,75,19.765,9.8825
25.01,60.05,80,19.621,9.8105
25.01,60.05,85,19.643,9.8215
25.01,60.05,90,19.465,9.7325
25.01,60.05,95,19.288,9.644
25.01,60.05,100,19.119,9.5595
25.01,60.05,125,18.249,9.1245
25.01,60.05,150,18.027,9.0135
25.01,60.05,175,17.174,8.587
25.01,60.05,200,16.733,8.3665
25.01,60.05,225,16.318,8.159
25.01,60.05,250,16.035,8.0175
25.01,60.05,275,15.543,7.7715
25.01,60.05,300,15.252,7.626
25.01,60.05,325,14.933,7.4665
25.01,60.05,350,14.555,7.2775
25.01,60.05,375,14.124,7.062
25.01,60.47,0,24.08,12.04
25.01,60.47,5,23.73,11.865
25.01,60.47,10,23.779,11.8895
25.01,60.47,15,23.773,11.8865
25.01,60.47,20,23.733,11.8665
25.01,60.47,25,23.706,11.853
25.01,60.47,30,23.588,11.794
25.01,60.47,35,23.468,11.734
25.01,60.47,40,23.408,11.704
25.01,60.47,45,23.423,11.7115
25.01,60.47,50,23.428,11.714
25.01,60.47,55,23.428,11.714
25.01,60.47,60,23.418,11.709
25.01,60.47,65,23.428,11.714
25.01,60.47,70,23.348,11.674
25.01,60.47,75,23.3,11.65
25.01,60.47,80,23.345,11.6725
25.01,60.47,85,23.305,11.6525
25.01,60.47,90,23.195,11.5975
25.01,60.47,95,23.155,11.5775
25.01,60.47,100,23.094,11.547
25.01,60.47,125,22.469,11.2345
25.01,60.47,150,20.664,10.332
25.01,60.47,175,19.634,9.817
25.01,60.47,200,18.994,9.497
25.01,60.47,225,18.387,9.1935
25.01,60.47,250,17.943,8.9715
25.01,60.47,275,17.383,8.6915
25.01,60.47,300,17.054,8.527
25.01,60.47,325,16.907,8.4535
25.01,60.47,350,16.414,8.207
25.01,60.47,375,15.624,7.812
25.01,60.48,0,30.923,15.4615
25.01,60.48,5,28.035,14.0175
25.01,60.48,10,25.656,12.828
25.01,60.48,15,23.716,11.858
25.01,60.48,20,22.243,11.1215
25.01,60.48,25,21.449,10.7245
25.01,60.48,30,21.113,10.5565
25.01,60.48,35,20.795,10.3975
25.01,60.48,40,20.472,10.236
25.01,60.48,45,20.176,10.088
25.01,60.48,50,19.883,9.9415
25.01,60.48,55,19.65,9.825
25.01,60.48,60,19.451,9.7255
25.01,60.48,65,19.294,9.647
25.01,60.48,70,19.156,9.578
25.01,60.48,75,19.006,9.503
25.01,60.48,80,18.865,9.4325
25.01,60.48,85,18.723,9.3615
25.01,60.48,90,18.592,9.296
25.01,60.48,95,18.481,9.2405
25.01,60.48,100,18.405,9.2025
25.01,60.48,125,18.291,9.1455
25.01,60.48,150,17.215,8.6075
25.01,60.48,175,16.478,8.239
25.01,60.48,200,16.078,8.039
25.01,60.48,225,15.78,7.89
25.01,60.48,250,15.356,7.678
25.01,60.48,275,15.099,7.5495
25.01,60.48,300,14.856,7.428
25.01,60.48,325,14.582,7.291
25.01,60.48,350,14.27,7.135
25.01,60.48,375,14.097,7.0485
25.011,53.902,0,28.147,14.0735
25.011,53.902,5,27.807,13.9035
25.011,53.902,10,26.538,13.269
25.011,53.902,15,26.448,13.224
25.011,53.902,20,26.38,13.19
25.011,54.013,0,25.987,12.9935
25.011,54.013,5,25.737,12.8685
25.011,54.013,10,25.64,12.82
25.011,54.013,15,25.26,12.63
25.011,54.013,20,25.105,12.5525
25.011,54.013,25,25.125,12.5625
25.011,54.013,30,25.095,12.5475
25.011,54.013,35,25.055,12.5275
25.011,54.013,40,25.045,12.5225
25.011,54.013,45,25.085,12.5425
25.011,54.013,50,25.011,12.5055
25.011,54.013,55,25.001,12.5005
25.011,54.013,60,25.051,12.5255
25.011,54.013,65,24.991,12.4955
25.011,54.013,70,24.991,12.4955
25.011,54.013,75,25.036,12.518
25.011,54.013,80,25.076,12.538
25.011,54.013,85,25.026,12.513
25.011,54.013,90,25.056,12.528
25.011,54.013,95,25.076,12.538
25.011,54.013,100,25.063,12.5315
25.011,54.03,0,25.977,12.9885
25.011,54.03,5,25.897,12.9485
25.011,54.03,10,25.61,12.805
25.011,54.03,15,25.38,12.69
25.011,54.03,20,25.105,12.5525
25.011,54.03,25,25.115,12.5575
25.011,54.03,30,25.085,12.5425
25.011,54.03,35,25.085,12.5425
25.011,54.03,40,25.085,12.5425
25.011,54.03,45,25.115,12.5575
25.011,54.03,50,25.031,12.5155
25.011,54.03,55,24.981,12.4905
25.011,54.03,60,25.051,12.5255
25.011,54.03,65,25.041,12.5205
25.011,54.03,70,25.031,12.5155
25.011,54.03,75,25.076,12.538
25.011,54.03,80,25.076,12.538
25.011,54.03,85,24.996,12.498
25.011,54.03,90,25.116,12.558
25.0112,53.0342,0,25.872,12.936
25.0112,53.0342,5,25.897,12.9485
25.0112,53.0342,10,25.61,12.805
25.0112,53.0342,15,25.38,12.69
25.0112,53.0342,20,25.11,12.555
25.0112,53.0342,25,25.115,12.5575
25.0112,53.0342,30,25.085,12.5425
25.0112,53.0342,35,25.085,12.5425
25.0112,53.0342,40,25.085,12.5425
25.0112,53.0342,45,25.11,12.555
25.0112,53.0342,50,25.031,12.5155
25.0112,53.0342,55,24.991,12.4955
25.0112,53.0342,60,25.071,12.5355
25.0112,53.0342,65,25.029,12.5145
25.0112,53.0342,70,25.026,12.513
25.0112,53.0342,75,25.093,12.5465
25.0112,53.0342,80,25.074,12.537
25.0112,53.0342,85,25.006,12.503
25.0112,53.0342,90,25.114,12.557
25.013,54.025,0,26.127,13.0635
25.013,54.025,5,25.727,12.8635
25.013,54.025,10,25.74,12.87
25.013,54.025,15,25.02,12.51
25.013,54.025,20,24.965,12.4825
25.013,54.025,25,25.025,12.5125
25.013,54.025,30,25.035,12.5175
25.013,54.025,35,25.135,12.5675
25.013,54.025,40,25.135,12.5675
25.013,54.025,45,25.155,12.5775
25.013,54.025,50,24.811,12.4055
25.013,54.025,55,24.831,12.4155
25.014,53.944,0,29.477,14.7385
25.014,53.944,5,29.597,14.7985
25.014,53.944,10,27.988,13.994
25.014,53.944,15,27.608,13.804
25.014,53.944,20,27.46,13.73
25.016,54.003,0,26.277,13.1385
25.016,54.003,5,25.427,12.7135
25.016,54.003,10,25.1,12.55
25.016,54.003,15,24.69,12.345
25.016,54.003,20,24.865,12.4325
25.016,54.003,25,24.855,12.4275
25.016,54.003,30,24.855,12.4275
25.016,54.003,35,24.895,12.4475
25.016,54.003,40,24.905,12.4525
25.016,54.003,45,24.885,12.4425
25.0163,53.991,0,25.812,12.906
25.0163,53.991,5,25.717,12.8585
25.0163,53.991,10,25.06,12.53
25.0163,53.991,15,24.97,12.485
25.0163,53.991,20,24.915,12.4575
25.0163,53.991,25,24.935,12.4675
25.0163,53.991,30,24.915,12.4575
25.0163,53.991,35,24.925,12.4625
25.0163,53.991,40,24.93,12.465
25.0163,53.991,45,24.935,12.4675
25.0163,53.991,50,24.856,12.428
25.0163,53.991,55,24.869,12.4345
25.0163,53.991,60,24.871,12.4355
25.0163,53.991,65,24.884,12.442
25.0163,53.991,70,24.881,12.4405
25.0163,53.991,75,24.936,12.468
25.0163,53.991,80,24.922,12.461
25.0163,53.991,85,24.931,12.4655
25.0163,53.991,90,24.959,12.4795
25.0163,53.991,95,24.962,12.481
25.0163,53.991,100,24.993,12.4965
25.0164,57.4164,0,24.832,12.416
25.0164,57.4164,5,24.776,12.388
25.0164,57.4164,10,24.583,12.2915
25.0164,57.4164,15,24.537,12.2685
25.0164,57.4164,20,24.514,12.257
25.0164,57.4164,25,24.503,12.2515
25.0164,57.4164,30,24.459,12.2295
25.0164,57.4164,35,24.441,12.2205
25.0164,57.4164,40,24.378,12.189
25.0164,57.4164,45,24.189,12.0945
25.0164,57.4164,50,23.961,11.9805
25.0164,57.4164,55,23.758,11.879
